#! FIELDS     Id          Pos_0         Pos_1         Pos_2         Density          Error
               0      6.5270131     4.8758763     4.5078160   5.2078284e+01  1.6974545e+00
               1      4.9736668     6.6209610     4.5063684   5.2078284e+01  1.6779874e+00
               2      8.3984133     6.3233999     5.3321188   4.9084429e+01  2.2223964e+00
               3      3.1025262     5.1750389     5.3340648   4.9084429e+01  2.2344962e+00
               4      5.0367722     6.5677299     4.5890101   4.7800690e+01  1.6223622e+00
               5      8.7582868     4.8291532     4.7553106   4.7369327e+01  1.9447202e+00
               6      2.7424708     6.6681646     4.7544735   4.7369327e+01  1.9420524e+00
               7      6.9872128     5.6762762     4.2591676   4.6678204e+01  1.8688547e+00
               8      4.5133890     5.8200807     4.2594171   4.6678204e+01  1.8774478e+00
               9      3.3387409     7.2461789     5.1668196   4.5307711e+01  1.4880727e+00
              10      8.1621467     4.2519398     5.1689642   4.5307711e+01  1.4645070e+00
              11      8.4383933     4.4504380     4.5905280   4.4408057e+01  1.6299505e+00
              12      3.0623124     7.0465595     4.5888563   4.4408057e+01  1.6311917e+00
              13      8.3885152     6.4390830     4.5886079   4.4380609e+01  2.0605701e+00
              14      3.1121906     5.0579144     4.5907764   4.4380609e+01  2.0555914e+00
              15      8.1362359     6.6528885     5.1666405   4.4203959e+01  1.6519442e+00
              16      3.3646517     4.8452300     5.1691432   4.4203959e+01  1.6552097e+00
              17      6.5172448     4.9923601     4.5903047   4.4126205e+01  1.4348789e+00
              18      3.3688877     5.4893003     4.0947176   4.4115011e+01  1.3263351e+00
              19      8.1316623     6.0067362     4.0934672   4.4115011e+01  1.3300441e+00
              20      4.4850688     4.7629860     4.5908465   4.4045530e+01  1.3675664e+00
              21      7.0156369     6.7340115     4.5885378   4.4045530e+01  1.3809585e+00
              22      6.1422393     7.3646858     5.3314640   4.3957613e+01  2.7939675e+00
              23      5.3587001     4.1337531     5.3347196   4.3957613e+01  2.7820799e+00
              24      3.1415995     4.7091036     5.0041102   4.3733664e+01  1.3507283e+00
              25      8.3592362     6.7886946     5.0012737   4.3733664e+01  1.3509190e+00
              26      8.1665774     4.8972112     5.3335380   4.3726869e+01  2.4836713e+00
              27      3.3343621     6.6012278     5.3326456   4.3726869e+01  2.4833234e+00
              28      8.5984570     4.6405164     5.4163190   4.3649789e+01  1.4339872e+00
              29      2.9025085     6.8580828     5.4150646   4.3649789e+01  1.4529506e+00
